C_MNTH,C_WDAY,C_HOUR,C_VEHS,C_RCFG,C_WTHR,C_RSUR,C_RALN,C_TRAF,V_TYPE,P_SEX,P_AGE,P_PSN,P_ISEV,P_SAFE,P_USER,V_AGE
9,4,22,2,1,1,1,2,18,1,0,16,13,1,1,2,11
5,4,10,3,1,1,1,1,18,1,0,69,11,1,2,1,11
9,7,8,3,1,1,1,1,18,1,1,5,21,1,2,2,12
6,4,10,2,1,2,1,3,18,1,0,65,11,1,2,1,16
9,5,14,2,1,1,1,1,18,1,1,72,11,1,2,1,10
11,1,11,3,1,1,1,1,18,1,1,42,11,1,2,1,1
9,1,5,2,1,1,1,2,18,1,1,46,11,1,2,1,1
11,5,8,2,3,1,3,1,18,1,1,3,21,1,2,2,15
1,5,14,2,1,1,5,1,18,1,0,27,11,1,2,1,29
3,3,22,2,1,1,1,1,18,14,0,26,11,1,9,5,12
6,6,19,2,1,1,1,1,18,1,0,27,11,1,2,1,3
10,7,1,2,1,2,1,3,18,1,0,26,22,1,1,2,2
6,1,10,2,1,2,1,1,18,1,1,34,11,1,2,1,12
4,6,2,2,1,2,1,1,18,1,0,22,11,1,2,1,1
11,5,14,2,1,3,2,1,18,1,0,77,11,1,2,1,7
7,2,15,3,2,1,1,1,3,1,1,12,21,1,2,2,15
6,7,5,2,1,2,2,1,18,1,0,21,11,1,2,1,6
3,7,16,2,1,1,1,1,18,1,1,63,11,1,2,1,14
3,2,12,3,2,4,5,6,1,1,0,56,23,1,1,2,6
5,6,7,2,1,2,2,1,18,1,0,21,13,1,2,2,3
9,1,20,2,1,1,1,1,18,1,1,16,11,1,12,1,5
1,7,14,2,1,1,2,4,18,1,1,22,13,1,2,2,12
9,1,15,2,1,1,1,1,18,1,0,31,11,1,2,1,3
1,2,22,3,1,4,3,1,18,1,1,23,13,1,2,2,11
7,7,0,2,1,1,1,2,8,1,0,67,11,1,2,1,31
9,5,20,2,1,1,1,1,18,1,1,28,11,1,2,1,8
5,4,17,2,1,1,1,1,18,1,0,48,11,1,2,1,4
8,3,9,4,1,3,2,1,18,1,1,41,11,1,2,1,1
8,4,11,2,1,1,1,2,18,1,1,70,13,1,2,2,2
10,1,11,3,2,1,1,1,3,1,1,74,11,1,2,1,4
1,7,9,2,1,1,1,1,18,1,0,31,11,1,2,1,2
7,5,9,4,3,1,1,1,18,1,1,39,11,1,2,1,9
8,4,2,2,1,1,1,1,18,1,0,19,11,1,12,1,11
12,3,13,2,1,1,1,1,1,1,0,52,11,1,2,1,10
10,7,20,2,1,1,1,1,18,1,0,22,11,1,2,1,13
4,6,22,2,1,3,2,1,1,1,1,82,11,1,2,1,6
11,5,18,3,1,1,1,1,18,1,0,28,11,1,2,1,17
11,6,15,2,1,1,1,1,18,1,0,33,11,1,1,1,13
7,4,13,2,1,1,1,1,18,1,1,90,11,1,2,1,21
12,6,22,3,1,1,1,1,18,1,1,14,13,1,2,2,13
9,4,7,2,1,1,1,1,18,1,1,40,13,1,2,2,4
10,3,17,2,1,1,1,1,18,1,1,6,23,1,2,2,9
9,4,7,2,2,1,1,1,18,1,0,19,23,1,2,2,16
8,5,18,2,2,3,2,1,18,1,1,6,13,1,2,2,3
7,7,13,2,1,1,1,1,18,1,1,16,11,1,2,1,7
6,3,11,2,1,1,1,1,18,1,0,80,11,1,2,1,15
10,5,13,2,1,2,1,1,18,1,1,63,11,1,1,1,11
9,2,13,2,2,1,1,1,18,1,0,48,11,1,13,1,5
2,5,23,2,1,1,5,1,18,1,0,16,13,1,2,2,17
11,7,17,2,1,4,3,2,1,1,1,44,21,1,1,2,4
3,1,8,2,1,1,2,1,18,1,1,15,13,1,2,2,18
12,7,14,2,1,3,2,1,18,1,0,36,11,1,2,1,9
2,2,16,2,1,1,1,1,18,1,1,69,11,1,2,1,7
12,4,14,2,1,1,1,1,18,1,0,28,11,1,2,1,5
5,5,12,2,1,1,1,3,18,1,0,20,11,1,2,1,3
4,1,6,2,1,2,1,1,18,1,1,22,11,1,2,1,13
12,1,12,2,1,4,3,1,18,1,0,52,11,1,2,1,11
10,7,21,2,1,2,1,1,18,1,0,51,11,1,2,1,16
8,6,2,3,3,1,1,3,18,1,0,22,11,1,2,1,15
3,6,16,2,1,1,5,1,18,1,0,24,13,1,2,2,17
8,3,2,3,1,1,1,1,18,1,0,18,13,1,2,2,12
3,6,18,3,1,1,1,1,18,1,1,44,13,1,2,2,16
6,5,7,2,1,1,1,1,18,1,0,29,11,1,2,1,5
5,7,2,2,2,1,1,1,18,1,1,33,11,1,2,1,8
9,6,16,4,2,1,1,1,1,1,1,59,11,1,2,1,14
12,7,5,2,1,7,5,1,18,1,0,60,11,1,2,1,4
8,5,19,2,1,1,1,1,18,1,1,49,11,1,2,1,10
1,7,3,2,1,1,1,1,18,1,1,41,11,1,2,1,7
8,3,8,2,1,1,1,1,18,1,1,17,11,1,2,1,13
2,7,4,2,1,1,1,1,18,1,0,50,11,1,2,1,4
5,7,15,2,1,1,1,5,18,1,0,71,11,1,2,1,12
11,6,13,2,1,1,3,1,18,1,1,17,23,1,1,2,15
5,6,5,2,1,2,1,1,18,1,0,34,11,1,2,1,16
12,2,7,2,1,3,2,1,18,1,1,31,11,1,2,1,1
5,6,0,3,1,2,2,1,18,1,0,22,11,1,2,1,23
7,4,15,2,1,1,1,1,18,1,0,67,11,1,2,1,16
11,3,8,3,1,1,1,1,18,1,0,24,11,1,2,1,11
10,1,19,2,1,1,1,1,18,1,0,57,11,1,12,1,14
9,7,8,2,1,1,1,2,18,1,0,17,11,1,2,1,14
12,6,23,2,1,1,1,1,18,1,1,30,11,1,2,1,7
9,5,7,2,1,1,1,1,18,1,1,60,11,1,2,1,5
3,5,7,2,1,1,1,1,18,1,0,16,11,1,2,1,1
11,3,23,2,1,1,1,1,18,1,0,30,13,1,2,2,5
10,6,14,2,1,1,1,3,18,1,1,65,13,1,2,2,13
4,5,15,3,1,1,1,1,18,1,1,48,23,1,2,2,10
8,2,22,2,1,2,1,1,18,1,0,16,11,1,2,1,21
5,6,3,3,1,1,1,1,18,1,0,31,11,1,2,1,3
1,5,13,2,1,1,2,6,18,1,1,39,11,1,2,1,10
11,7,14,4,2,1,1,1,18,1,0,22,11,1,2,1,2
